2024-03-26 19:21:40,529 - MVC.controller.ai - INFO - angle parcourue 34.0, angle 90
2024-03-26 19:21:40,530 - MVC.controller.ai - INFO - angle parcourue 34.0, angle 90
2024-03-26 19:21:40,530 - MVC.controller.ai - INFO - angle parcourue 35.0, angle 90
2024-03-26 19:21:40,532 - MVC.controller.ai - INFO - angle parcourue 35.0, angle 90
2024-03-26 19:21:40,532 - MVC.controller.ai - INFO - angle parcourue 36.0, angle 90
2024-03-26 19:21:40,533 - MVC.controller.ai - INFO - angle parcourue 36.0, angle 90
2024-03-26 19:21:40,533 - MVC.controller.ai - INFO - angle parcourue 37.0, angle 90
2024-03-26 19:21:40,534 - MVC.controller.ai - INFO - angle parcourue 37.0, angle 90
2024-03-26 19:21:40,534 - MVC.controller.ai - INFO - angle parcourue 38.0, angle 90
2024-03-26 19:21:40,535 - MVC.controller.ai - INFO - angle parcourue 38.0, angle 90
2024-03-26 19:21:40,535 - MVC.controller.ai - INFO - angle parcourue 39.0, angle 90
2024-03-26 19:21:40,536 - MVC.controller.ai - INFO - angle parcourue 39.0, angle 90
2024-03-26 19:21:40,536 - MVC.controller.ai - INFO - angle parcourue 40.0, angle 90
2024-03-26 19:21:40,538 - MVC.controller.ai - INFO - angle parcourue 40.0, angle 90
2024-03-26 19:21:40,538 - MVC.controller.ai - INFO - angle parcourue 41.0, angle 90
2024-03-26 19:21:40,539 - MVC.controller.ai - INFO - angle parcourue 41.0, angle 90
2024-03-26 19:21:40,539 - MVC.controller.ai - INFO - angle parcourue 42.0, angle 90
2024-03-26 19:21:40,540 - MVC.controller.ai - INFO - angle parcourue 42.0, angle 90
2024-03-26 19:21:40,540 - MVC.controller.ai - INFO - angle parcourue 43.0, angle 90
2024-03-26 19:21:40,541 - MVC.controller.ai - INFO - angle parcourue 43.0, angle 90
2024-03-26 19:21:40,541 - MVC.controller.ai - INFO - angle parcourue 44.0, angle 90
2024-03-26 19:21:40,543 - MVC.controller.ai - INFO - angle parcourue 44.0, angle 90
2024-03-26 19:21:40,543 - MVC.controller.ai - INFO - angle parcourue 45.0, angle 90
2024-03-26 19:21:40,544 - MVC.controller.ai - INFO - angle parcourue 45.0, angle 90
2024-03-26 19:21:40,544 - MVC.controller.ai - INFO - angle parcourue 46.0, angle 90
