2024-03-26 20:17:15,355 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,355 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,355 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,355 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,355 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,356 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,356 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,357 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,357 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,357 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,357 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,357 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,358 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,359 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,359 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,359 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,359 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,359 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,359 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,359 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,359 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,360 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,360 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,360 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,360 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,361 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,361 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,362 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,362 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,362 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,363 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,363 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,363 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,364 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,364 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,365 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,365 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,365 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,365 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,366 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,366 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,367 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,367 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,368 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,368 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,368 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,368 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,369 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,369 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,370 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,370 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,370 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,370 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,371 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,371 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,372 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,372 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,373 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,373 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,374 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,374 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,375 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,375 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,375 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,375 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,376 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,376 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,377 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,377 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,377 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,377 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,378 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,378 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,378 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,378 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,378 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,378 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,379 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,379 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,380 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,380 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
2024-03-26 20:17:15,380 - MVC.controller.ai - INFO - distance parcourue 0.0, distance 50
